Ticker,Tanggal,Judul_Berita,Skor_Compound,Sentimen,Sentimen_manual
TSLA,7/5/2026,$4.1 Billion Deal Shows Why Ferrari and Tesla Are Ditching Copper for a Substitute,0.5994,Positif,Positif
AAPL,7/5/2026,"Dow Jones Futures: Techs Jump With Apple, SpaceX, Sandisk, Robinhood In Focus",0.3612,Positif,Positif
TSLA,7/5/2026,"Tesla vs BYD: Two Paths to EV Leadership, One Winner",0.8658,Positif,Positif
TSLA,7/5/2026,Tesla's $1.4 trillion valuation rests on what happens next in one city,0.2023,Positif,Positif
GOOGL,7/5/2026,Wall Street Is Buzzing About Alphabet Joining the Dow. Income Investors Should Be Looking at This Stock Instead.,0,Netral,Netral
TSLA,7/5/2026,Meta and Tesla Are Suddenly Worth the Same $1.48 Trillion. Which Stock Wins from Here?,0.7906,Positif,Positif
GOOGL,7/5/2026,Where Will Alphabet Stock Be in 5 Years?,0.6381,Positif,Positif
NVDA,7/5/2026,The First Half of 2026 Is Over. These 2 Spectacular Artificial Intelligence (AI) Stocks Can Soar in the Second Half.,0.4767,Positif,Positif
GOOGL,7/5/2026,This Is the One AI Stock I Can’t Stop Buying,-0.5267,Negatif,Positif
GOOGL,7/5/2026,Alphabet Stock Has Doubled in a Year. Is It Too Late to Buy?,0.4137,Positif,Positif
TSLA,7/5/2026,Elon Musk Says Optimus Production Will Be 'Extremely Slow' in the Beginning: 'This is Not Like Making a Car',-0.2755,Negatif,Negatif
NVDA,7/5/2026,AMD Stock and Intel Crushed Nvidia in the First Half. Here's My Prediction for the Second Half.,-0.4215,Negatif,Negatif
GOOGL,7/5/2026,The AI Boom Runs on Debt. Global Regulators Want to Shut Off the Tap,0.4215,Positif,Positif
GOOGL,7/5/2026,Google Just Launched 2 New AI Models. What That Means for GOOGL Stock.,0.7003,Positif,Positif
TSLA,7/5/2026,"California vs. Elon Musk: Tesla Snubbed as New EV Incentives Boost Rivian, Lucid",0.6808,Positif,Positif
AAPL,7/5/2026,"Foxconn second-quarter revenue jumps, company cautions on geopolitics",0.9403,Positif,Positif
GOOGL,7/5/2026,Analyst shares 5 takes on the Neocloud vs Hyperscaler opportunities for Meta,0.5859,Positif,Positif
GOOGL,7/5/2026,Alphabet (GOOGL) Faces Final €4.1b Android Antitrust Ruling In Europe,0.3818,Positif,Netral
AAPL,7/5/2026,3 No-Brainer Stocks to Buy in July and Hold Forever,0.743,Positif,Positif
GOOGL,7/5/2026,"SpaceX, Alphabet, and SK Hynix Are Sending a Big Signal to the Market, and No One Is Talking About It",-0.296,Negatif,Negatif
GOOGL,7/4/2026,"Bill Ackman reveals why he still likes Alphabet, Amazon, and Meta stocks",0.6908,Positif,Positif
AAPL,7/4/2026,Apple (AAPL) Plans 10 Million Foldables And An iPhone Ultra Push,-0.0772,Negatif,Negatif
AAPL,7/4/2026,Evercore ISI Maintains Outperform Rating on Apple (AAPL) Stock,0.743,Positif,Positif
TSLA,7/4/2026,Bill Ackman Drives a Tesla: Here's Why He Won't Buy the Stock,0.5267,Positif,Negatif
GOOGL,7/4/2026,Why Alphabet Inc (GOOGL) Is Rationing Gemini Access for Customers,0.4588,Positif,Positif
TSLA,7/4/2026,Here’s Why Tesla Inc. (TSLA) is a Top Robotics Stock to Buy Amid Robotaxi and Optimus Developments,0.6808,Positif,Positif
AAPL,7/4/2026,Tennessee deputy spent seized drug money on Apple gear for his family — now he owes $339K in pension clawbacks,0,Netral,Netral
GOOGL,7/4/2026,Warren Buffett's Berkshire Hathaway Owns $41 Billion of Alphabet Stock: Here Are 3 Possible Reasons Why,0.4767,Positif,Positif
TSLA,7/4/2026,Tesla (TSLA) Expands Robotaxi Service To Miami With Cybercabs On Public Roads,0.5187,Positif,Positif
GOOGL,7/4/2026,Argus Maintains Buy Rating on Alphabet (GOOGL) Stock,0.7845,Positif,Positif
GOOGL,7/4/2026,Reddit (RDDT) Eyes Higher AI Data Fees And Launches Shopping Ad Tools,0.6249,Positif,Positif
AAPL,7/4/2026,Microsoft (MSFT): One of the Best AI and Technology Stocks to Buy Now,0.8934,Positif,Netral
NVDA,7/4/2026,Nvidia (NVDA) Backs Verkada And Brings In A Microsoft Veteran To Lead Sales,0.3818,Positif,Positif
GOOGL,7/4/2026,"1 Unstoppable Stock to Buy Before It Joins Google, Apple, Microsoft, and Nvidia in the $3 Trillion Club",0.2263,Positif,Positif
GOOGL,7/4/2026,$750 Billion AI Spending Wave: Should You Buy These 3 AI Infrastructure Stocks?,0.168,Positif,Positif
AAPL,7/4/2026,Apple's 2027 hardware refresh sends Wall Street a warning,-0.34,Negatif,Negatif
NVDA,7/4/2026,"Nvidia Stock Is Nearly Flat for 2026. Time to Cash Out, or Load Up on Shares?",0,Netral,Netral
