Ticker,Tanggal,Judul_Berita,Skor_Compound,Sentimen
GOOGL,2026-03-06,How Amazon and Google are taking on smart homes with AI,0.926,Positif
GOOGL,2026-03-07,"Meet the Artificial Intelligence (AI) ETF With 20% of Its Portfolio Parked in Alphabet, Nvidia, Micron, and Amazon",0.5859,Positif
GOOGL,2026-03-07,Google Owns a $1 Billion Unicorn Defense Company Now,0.0644,Positif
GOOGL,2026-03-07,A Look At Dominion Energy (D) Valuation After New Earnings Guidance And Higher Data Center Spending Plan,0.8271,Positif
GOOGL,2026-03-07,"Google, Meta and the AI ‘hyperscalers’ are on a $1 trillion borrowing binge after years of printing cash. Here’s why Big Tech’s pivot to debt matters",-0.4215,Negatif
GOOGL,2026-03-07,Google gives CEO new pay deal worth up to $692 million,0.4019,Positif
GOOGL,2026-03-07,Alphabet Faces Gemini Lawsuit While Deepening Healthcare AI Role With CVS,-0.875,Negatif
GOOGL,2026-03-07,Twilio Expands European Reach With KPN And Google RCS Partnership,0.7783,Positif
GOOGL,2026-03-07,Trump Met Privately With Coinbase CEO Before Blasting Banks Over Crypto Bill: Report,0.6369,Positif
GOOGL,2026-03-07,White House eyes ‘any lawful use’ mandate for AI firms in new draft,-0.34,Negatif
NVDA,2026-03-07,Qualcomm has 'significant advantage' over Nvidia in edge AI: CFO,0.8225,Positif
NVDA,2026-03-07,IREN’s $6 Billion Stock Offering: Is This AMC Entertainment 2.0 for the AI Era?,0.6868,Positif
NVDA,2026-03-07,"Meet the Artificial Intelligence (AI) ETF With 20% of Its Portfolio Parked in Alphabet, Nvidia, Micron, and Amazon",0.5859,Positif
NVDA,2026-03-07,"1 Growth Stock Down 60% You'll Wish You'd Bought on the Dip, According to Wall Street",0.9371,Positif
NVDA,2026-03-07,CoreWeave Perplexity Partnership Highlights Growth Prospects Despite Recent Share Weakness,0.8967,Positif
NVDA,2026-03-07,Stock Market Focus On Iran War News. Oil's Next Move Could Be Big.,-0.9022,Negatif
NVDA,2026-03-07,"3 Vanguard ETFs to Buy and Hold Forever for $30,000 in Annual Dividend Income",0.0,Netral
NVDA,2026-03-07,3 Risks That Could Erode Walmart's Long-Term Competitive Advantage,0.5106,Positif
NVDA,2026-03-07,XRP Price Prediction: 5 Catalysts That Could Push XRP to $3 in 2026,-0.1513,Negatif
NVDA,2026-03-07,Medicare’s 2026 Cost Jump Strains Social Security Budgets,0.7832,Positif
VZ,2026-03-07,Why Verizon Stock Skyrocketed 20.4% Last Month and Is Rising in March,0.0,Netral
VZ,2026-03-06,"AT&T, IBD Stock Of The Day, Near Buy Point After Surging On Earnings",0.8807,Positif
VZ,2026-03-06,Kettle Hill Loads Up On SentinelOne With 1.7 Million Shares,-0.296,Negatif
VZ,2026-03-06,NYSE fined $9 million by SEC over glitch that disrupted stock market,0.3818,Positif
VZ,2026-03-06,Is It Time To Reassess Verizon (VZ) After Its Strong Year To Date Share Price Run?,0.93,Positif
VZ,2026-03-06,AT&T vs. Verizon in 2026: Which Telecom Dividend Stock Is Actually Worth Owning?,0.594,Positif
VZ,2026-03-06,Verizon Weighs V2X Growth Opportunities Against Sponsorship Cost Controls,0.91,Positif
VZ,2026-03-06,"Hundreds of applications, no jobs and AI competition: California's brutal tech work landscape",-0.8225,Negatif
VZ,2026-03-06,Verizon (VZ) Reviewing NFL Partnership and Other Sponsorship Deals to Cut Costs,0.4767,Positif
VZ,2026-03-05,Why Telecoms Like AT&T And Verizon Are Trouncing Tech Giants,0.8225,Positif
